Altium Designer Pick and Place Locations
D:\Altium Designer 25.0.2 Build 28 (x64)\STM32\Project Outputs for STM32\Pick Place for STM32_PCB1.csv

========================================================================================================================
File Design Information:

Date:       05/01/25
Time:       22:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J3","S6B-XH-SM4-TB(LF)(SN)","TopLayer","FP-S6B-XH-SM4-TB_LF_SN-MFG","102.4500","57.8000","180","CONN HEADER SMD R/A 6POS 2.5MM"
"X1","24Mhz","TopLayer","EPSON-TSX-3225_V","95.9000","69.7000","0","MHz Range Crystal, 24 MHz, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"
"U3","MPU-6050","TopLayer","IS-QFN-24_V","98.5250","84.5000","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","STM32F411CEU6","TopLayer","STM-UFQFPN48_L","104.7750","74.5000","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","118.2500","61.2500","270","LDO Voltage Regulators 1A, 3.3V"
"R7","10k","TopLayer","RESC1005X40X25NL10T10","114.0000","89.5000","0",""
"R6","10k","TopLayer","RESC1005X40X25NL10T10","104.2500","81.8250","270",""
"R5","1k","TopLayer","RESC1005X40X25ML10T10","110.5000","70.7500","0",""
"R4","2.2k","TopLayer","RESC1005X40X25LL05T05","104.5250","83.5000","180",""
"R3","2.2k","TopLayer","RESC1005X40X25LL05T05","106.5250","83.5000","0",""
"R2","0R","TopLayer","RESC1005X40X25LL10T10","97.2500","74.0000","0",""
"R1","1k","TopLayer","RESC1005X40X25ML10T10","126.2000","63.5000","270",""
"J2","TC2030-CTX-NL","TopLayer","FP-TC2030-CTX-NL-MFG","113.5400","84.9840","180","6-Pin “No legs” TC2030 Plug-of-Nails™ Cable for use with ARM Cortex processors"
"J1","473460001","TopLayer","FP-473460001-MFG","125.3300","75.7000","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","742792625","TopLayer","WE-CBF_0603_L1.6W0.8H0.8_HC","119.9250","73.4000","180",""
"D2","RED","TopLayer","FP-SML-P11UTT86-MFG","110.5250","72.2500","180","LED RED CLEAR 1006 SMD"
"D1","LED_GREEN","TopLayer","FP-APHHS1005CGCK-MFG","126.2000","60.3000","270","LED GREEN CLEAR CHIP SMD"
"C18","2n2","TopLayer","CAPC1005X55X30LL05T10","101.9000","84.0000","90",""
"C17","10n","TopLayer","CAPC1005X55X30LL05T10","95.0000","85.7500","90",""
"C16","100n","TopLayer","CAPC1005X55X30LL05T10","95.0000","83.8700","90",""
"C15","100n","TopLayer","CAPC1005X55X30LL05T10","97.6200","81.1000","180",""
"C14","100n","TopLayer","CAPC1005X55X30LL05T10","111.7500","89.5000","0",""
"C13","2.2u","TopLayer","FP-C0603C225K4PACTU-MFG","105.6500","68.5000","180","CAP CER 2.2UF 16V X5R 0603"
"C12","100n","TopLayer","CAPC1005X55X30LL05T10","102.2500","80.0000","180",""
"C11","100n","TopLayer","CAPC1005X55X30LL05T10","109.7500","77.5000","90",""
"C10","100n","TopLayer","CAPC1005X55X30LL05T10","108.1550","69.5000","0",""
"C9","100n","TopLayer","CAPC1005X55X30LL05T10","99.7500","72.6300","270",""
"C8","100n","TopLayer","CAPC1005X55X30LL05T10","99.7750","76.8800","90",""
"C7","2.2u","TopLayer","FP-C0603C225K4PACTU-MFG","97.7750","77.0000","270","CAP CER 2.2UF 16V X5R 0603"
"C6","10p","TopLayer","FP-C0402-BB-MFG","97.2500","72.5000","0","CAP CER 10PF 16V 10% NP0 0402"
"C5","10p","TopLayer","FP-C0402-BB-MFG","94.6500","72.5000","180","CAP CER 10PF 16V 10% NP0 0402"
"C4","22u","TopLayer","CAPC2013X140X50ML20T25","123.2750","60.7500","270",""
"C3","22u","TopLayer","CAPC2013X140X50ML20T25","117.4000","67.6000","180",""
"C2","2.2u","TopLayer","FP-C0603C225K4PACTU-MFG","118.5000","71.0500","270","CAP CER 2.2UF 16V X5R 0603"
"C1","2.2u","TopLayer","FP-C0603C225K4PACTU-MFG","120.7500","71.1500","270","CAP CER 2.2UF 16V X5R 0603"
